Code,Title,Credits,Prereqs,Day,Begin,End,Division,Term,Professor
ECON 521-01,Advanced Economic Theory I,4.0,,R,500 PM,730 PM,SOC,Fall,Asen Kochov; Yu Awaya
ECON 524-1,Game Theory & Econ Mech,4.0,,M,1230 PM,400 PM,SOC,Fall,William Thomson
ECON 531-1,Macroeconomic Workshop,5.0,,M,330 PM,500 PM,SOC,Fall,Gaston Chaumont
ECON 534-1,Topics in Macroeconomics,2.0,,M,1200 PM,130 PM,SOC,Fall,Yan Bai
ECON 535-01,Topics in Macroeconomics II,2.0,,W,515 PM,800 PM,SOC,Fall,Luis Rafael Guntin Wernik
ECON 537-1,Computational Methods in Macroeconomics,2.0,,T,430 PM,730 PM,SOC,Fall,Matias Moretti
ECON 546-1,Economics Student Seminar,4.0,,R,1230 PM,145 PM,SOC,Fall,Luis Rafael Guntin Wernik
ECON 547-1,Econometrics Workshop,5.0,,R,330 PM,500 PM,SOC,Fall,Nese Yildiz
ECON 551-1,Applied Economics Workshop,5.0,,T,330 PM,500 PM,SOC,Fall,Ronni Pavan
ECON 568-1,Quantitative Analysis in International Trade,4.0,,M,900 AM,1145 AM,SOC,Fall,Fernando Parro
ECON 571-1,Readings in Macroeconomics,2.0,,F,1115 AM,1215 PM,SOC,Fall,Mark Bils
ECON 572-1,Readings in Game Theory,2.0,,T,500 PM,630 PM,SOC,Fall,Paulo Barelli
ECON 573-1,Readings Applied Economics,2.0,,T,1230 PM,145 PM,SOC,Fall,Ronni Pavan
ECON 574-02,Econometrics Reading Group II,2.0,,T,1230 PM,145 PM,SOC,Fall,Nese Yildiz
ECON 577-1,Readings in Education,2.0,,F,1000 AM,1115 AM,SOC,Fall,Iris Vrioni
ECON 578-1,Readings in intl Economics,2.0,,W,1215 PM,130 PM,SOC,Fall,George Alessandria
ECON 588-1,Prof Economic Communication,2.0,,W,200 PM,330 PM,SOC,Fall,William Thomson
ECON 108-1,Principles of Economics,4.0,,TR,1230 PM,145 PM,SOC,Spring,Daria Bottan
ECON 108-2,Principles of Economics,4.0,,TR,1105 AM,1220 PM,SOC,Spring,Daria Bottan
ECON 207-1,Intermediate Microeconomics,4.0,ECON 108,TR,1105 AM,1220 PM,SOC,Spring,Michael Rizzo
ECON 207-15,Intermediate Microeconomics,4.0,ECON 108,TR,325 PM,440 PM,SOC,Spring,Srihari Govindan
ECON 207-2,Intermediate Microeconomics,4.0,ECON 108,TR,1230 PM,145 PM,SOC,Spring,Michael Rizzo
ECON 209-1,Intermediate Macroeconomics,4.0,ECON 207,MW,1025 AM,1140 AM,SOC,Spring,Christopher Sleet
ECON 209-2,Intermediate Macroeconomics,4.0,ECON 207,MW,900 AM,1015 AM,SOC,Spring,Eugenio Gonzalez Flores
ECON 211-02,"Money, Credit & Banking",4.0,,MW,1025 AM,1140 AM,SOC,Spring,Emma Ko
ECON 214-2,Econ Theory of Organizations,4.0,ECON 207,TR,1230 PM,145 PM,SOC,Spring,Michael Raith
ECON 224-1,Economics of Sports,4.0,,MW,200 PM,315 PM,SOC,Spring,Michael Rizzo
ECON 224W-1,Sports and Economics,4.0,,MW,200 PM,315 PM,SOC,Spring,Michael Rizzo
ECON 231W-1,Econometrics,4.0,"MATH 161, ECON 207",MW,1230 PM,145 PM,SOC,Spring,Chunya Bu
ECON 231W-2,Econometrics,4.0,"MATH 161, ECON 207",MW,900 AM,1015 AM,SOC,Spring,Iris Vrioni
ECON 236-1,Health Economics,4.0,,MW,200 PM,315 PM,SOC,Spring,Samuel Ogie
ECON 251-1,Industrial Organization,4.0,,MW,1230 PM,145 PM,SOC,Spring,Yu Awaya
ECON 263-01,Public Economics,4.0,,TR,1230 PM,145 PM,SOC,Spring,Estefano Roberto Rubio Salinas
ECON 268-1,Economics of Globalization,4.0,ECON 108,TR,1105 AM,1220 PM,SOC,Spring,Gaston Chaumont
ECON 268W-1,Economics of Globalization,4.0,,TR,1105 AM,1220 PM,SOC,Spring,Gaston Chaumont
ECON 275-1,Development Economics,4.0,,TR,940 AM,1055 AM,SOC,Spring,Travis Baseler
ECON 275W-1,Development Economics,4.0,,TR,940 AM,1055 AM,SOC,Spring,Travis Baseler
ECON 288-01,Game Theory,4.0,,MW,325 PM,440 PM,SOC,Spring,Anastassios Kalandrakis
ECON 289W-1,ECO Research and Comm,4.0,"ECON 207, ECON 231W",F,1025 AM,105 PM,SOC,Spring,Sudhir Singh
ECON 472-1,Modern Value Theory,4.0,,TR,915 AM,1055 AM,SOC,Spring,Yu Awaya; Paulo Barelli
ECON 476-1,Macroeconomics II,4.0,,MW,200 PM,315 PM,SOC,Spring,Gaston Chaumont; Christopher Sleet
ECON 482-1,Math Economics,2.0,,TR,200 PM,315 PM,SOC,Spring,Srihari Govindan
ECON 485-1,Intro to Econometrics I,2.0,,MW,1000 AM,1115 AM,SOC,Spring,Bin Chen
ECON 486-1,Intro to Econometrics II,2.0,,MW,1000 AM,1115 AM,SOC,Spring,Bin Chen
ECON 487-1,Applied Econometrics,2.0,,F,100 PM,410 PM,SOC,Spring,Lisa Kahn
ECON 492-1,Mathematical Economics III,2.0,,MW,1200 AM,1201 AM,SOC,Spring,Srihari Govindan
ECON 503-1,Labor Economics II,4.0,,TR,930 AM,1045 AM,SOC,Spring,Ronni Pavan
ECON 506-2,Top in Labor & Development,3.0,,MW,1200 AM,1201 AM,SOC,Spring,Travis Baseler
ECON 508-1,Theory Workshop II,5.0,,W,330 PM,500 PM,SOC,Spring,Paulo Barelli
ECON 512-2,International Trade II,2.0,,M,1215 PM,145 PM,SOC,Spring,George Alessandria
ECON 513-1,International Economics I,2.0,,M,500 PM,750 PM,SOC,Spring,Yan Bai
ECON 532-1,Macroeconomics Workshop II,5.0,,M,330 PM,500 PM,SOC,Spring,Mark Bils
ECON 534-1,Topics in Macroeconomics I,2.0,,T,1245 PM,330 PM,SOC,Spring,Christopher Sleet
ECON 536-1,Topics in Macroeconomics III,2.0,,T,1245 PM,330 PM,SOC,Spring,Sadhika Bagga
ECON 548-1,Econometrics Workshop II,5.0,,R,330 PM,530 PM,SOC,Spring,Nese Yildiz
ECON 552-1,Applied Workshop II,5.0,,T,330 PM,500 PM,SOC,Spring,Ronni Pavan
ECON 570-1,International Macroeconomics,2.0,,T,430 PM,720 PM,SOC,Spring,Matias Moretti
ECON 571-1,Macroeconomics Reading Group II,2.0,,F,1045 AM,1200 PM,SOC,Spring,Mark Bils
ECON 572-1,Theory Reading Group II,2.0,,T,530 PM,700 PM,SOC,Spring,Paulo Barelli
ECON 573-1,Applied Reading Group II,2.0,,T,1230 PM,145 PM,SOC,Spring,Ronni Pavan
ECON 574-1,Econometrics Reading Group II,2.0,,T,100 PM,200 PM,SOC,Spring,Nese Yildiz
ECON 578-1,International Reading Group II,2.0,,W,1215 PM,145 PM,SOC,Spring,George Alessandria
MATH 140-1,Foundations of Calculus,4.0,,MW,1025 AM,1140 AM,NSE,Fall,Donovan Snyder
MATH 141-1,Calculus I,4.0,,TR,200 PM,315 PM,NSE,Fall,Ophelia Adams
MATH 141-2,Calculus I,4.0,,MW,200 PM,315 PM,NSE,Fall,Kalyani Madhu
MATH 141-21,Calculus I,4.0,,TR,940 AM,1055 AM,NSE,Fall,Ahmad Almomani
MATH 141-3,Calculus I,4.0,,MW,1025 AM,1140 AM,NSE,Fall,Kalyani Madhu
MATH 141-4,Calculus I,4.0,,MW,900 AM,1015 AM,NSE,Fall,Pablo Bhowmik
MATH 142-1,Calculus II,4.0,MATH 141,MW,325 PM,440 PM,NSE,Fall,FNU Anudeep Kumar
MATH 142-2,Calculus II,4.0,MATH 141,MW,900 AM,1015 AM,NSE,Fall,Wei-Cheng Huang
MATH 143-1,Calculus III,4.0,"MATH 141, MATH 142",MW,1025 AM,1140 AM,NSE,Fall,Kiera Harmatz-Kean
MATH 143-2,Calculus III,4.0,"MATH 141, MATH 142",TR,200 PM,315 PM,NSE,Fall,Amanda Tucker
MATH 150-1,Discrete Mathematics,4.0,,MW,200 PM,315 PM,NSE,Fall,Matthew Dannenberg
MATH 150-3,Discrete Mathematics,4.0,,MW,1230 PM,145 PM,NSE,Fall,Matthew Dannenberg
MATH 150-4,Discrete Mathematics,4.0,,TR,200 PM,315 PM,NSE,Fall,Ahmad Almomani
MATH 150-5,Discrete Mathematics,4.0,,MW,450 PM,605 PM,NSE,Fall,Hari Nathan
MATH 161-24,Calculus IA,4.0,,MW,1025 AM,1140 AM,NSE,Fall,John Lin
MATH 161-3,Calculus IA,4.0,,MW,900 AM,1015 AM,NSE,Fall,Woongbae Park
MATH 161-32,Calculus IA,4.0,,TR,200 PM,315 PM,NSE,Fall,Hari Rau-Murthy
MATH 161-4,Calculus IA,4.0,,TR,940 AM,1055 AM,NSE,Fall,Mark Herman
MATH 161-5,Calculus IA,4.0,,MW,200 PM,315 PM,NSE,Fall,Surena Hozoori
MATH 162-01,Calculus IIA,4.0,MATH 161,MW,900 AM,1015 AM,NSE,Fall,Nathanael Grand
MATH 162-02,Calculus IIA,4.0,MATH 161,MW,1025 AM,1140 AM,NSE,Fall,Douglas Ravenel
MATH 162-03,Calculus IIA,4.0,MATH 161,MW,325 PM,440 PM,NSE,Fall,Peter Oberly
MATH 162-04,Calculus IIA,4.0,MATH 161,MW,1230 PM,145 PM,NSE,Fall,Peter Oberly
MATH 164-1,Multivariable Calculus,4.0,MATH 162,MW,900 AM,1015 AM,NSE,Fall,Sema Salur
MATH 164-2,Multivariable Calculus,4.0,MATH 162,TR,940 AM,1055 AM,NSE,Fall,Hari Rau-Murthy
MATH 164-3,Multivariable Calculus,4.0,MATH 162,MW,1230 PM,145 PM,NSE,Fall,Sema Salur
MATH 165-01,Linear Algebra with Differential Equations,4.0,MATH 162,MW,1025 AM,1140 AM,NSE,Fall,Min Sik Han
MATH 165-02,Linear Algebra with Differential Equations,4.0,MATH 162,TR,1230 PM,145 PM,NSE,Fall,Neeraja Kulkarni
MATH 165-03,Linear Algebra with Differential Equations,4.0,MATH 162,MW,325 PM,440 PM,NSE,Fall,Min Sik Han
MATH 165-05,Linear Algebra with Differential Equations,4.0,MATH 162,MW,200 PM,315 PM,NSE,Fall,Zheng Zhu
MATH 190-1,Topics in Problem Solving,1.0,MATH 165,M,450 PM,605 PM,NSE,Fall,Dan Geba
MATH 200-01,Transition to Advanced Mathematics,4.0,MATH 162,TR,1230 PM,145 PM,NSE,Fall,Dan Geba
MATH 200WM-1,Transition to Advanced Mathematics,0.5,MATH 200,MW,1200 AM,1201 AM,NSE,Fall,Dan Geba
MATH 201-01,Introduction to Probability,4.0,MATH 162,MW,1025 AM,1140 AM,NSE,Fall,Mary Cook
MATH 201-02,Introduction to Probability,4.0,MATH 162,MW,200 PM,315 PM,NSE,Fall,Mary Cook
MATH 201-03,Introduction to Probability,4.0,MATH 162,TR,200 PM,315 PM,NSE,Fall,Neeraja Kulkarni
MATH 203-01,Intro to Math Statistics,4.0,MATH 203,TR,325 PM,440 PM,NSE,Fall,Javier Bautista
MATH 217-1,Mathematical Models in Political Science,4.0,MATH 161,MW,1230 PM,145 PM,NSE,Fall,Thomas Tucker
MATH 225-01,Intermediate Logic,4.0,,MW,200 PM,315 PM,NSE,Fall,Zeynep Soysal
MATH 230-1,Introduction to Number Theory,4.0,MATH 200,MW,200 PM,315 PM,NSE,Fall,Juan Rivera Letelier
MATH 235-01,Linear Algebra,4.0,MATH 165,MW,200 PM,315 PM,NSE,Fall,FNU Anudeep Kumar
MATH 235-02,Linear Algebra,4.0,MATH 165,MW,1230 PM,145 PM,NSE,Fall,Dinesh Thakur
MATH 235WM-1,Linear Algebra,0.5,MATH 235,MW,1200 AM,1201 AM,NSE,Fall,FNU Anudeep Kumar
MATH 235WM-2,Linear Algebra,0.5,MATH 235,MW,1200 AM,1201 AM,NSE,Fall,Dinesh Thakur
MATH 237-1,Introduction to Algebra II,4.0,MATH 236,MW,200 PM,315 PM,NSE,Fall,Naomi Jochnowitz
MATH 238-1,Combinatorics,4.0,MATH 235,MW,900 AM,1015 AM,NSE,Fall,Juan Rivera Letelier
MATH 255-1,Differential Geometry,4.0,"MATH 164, MATH 235",MW,1025 AM,1140 AM,NSE,Fall,Surena Hozoori
MATH 265-01,Real Analysis I,4.0,"MATH 164, MATH 235",MW,1025 AM,1140 AM,NSE,Fall,Wei-Cheng Huang
MATH 265-02,Real Analysis I,4.0,"MATH 164, MATH 235",MW,1230 PM,145 PM,NSE,Fall,Woongbae Park
MATH 265WM-1,Real Analysis I,0.5,MATH 265,MW,1200 AM,1201 AM,NSE,Fall,Wei-Cheng Huang
MATH 265WM-2,Real Analysis I,0.5,MATH 265,MW,1200 AM,1201 AM,NSE,Fall,Woongbae Park
MATH 280-1,Introduction to Numerical Analysis,4.0,MATH 235,TR,940 AM,1055 AM,NSE,Fall,Ophelia Adams
MATH 280WM-1,Introduction to Numerical Analysis,0.5,MATH 280,,,,NSE,Fall,Ophelia Adams
MATH 281-1,Applied Boundary Value Problems,4.0,,MWF,1150 AM,1240 PM,NSE,Fall,Hussein Aluie
MATH 391-1,Independent Study,4.0,,MW,1200 AM,1201 AM,NSE,Fall,Alex Iosevich
MATH 391-3,Independent Study,4.0,,MW,1200 AM,1201 AM,NSE,Fall,Alex Iosevich
MATH 430-1,Algebraic Number Theory,4.0,MATH 436,MW,1025 AM,1140 AM,NSE,Fall,Thomas Tucker
MATH 436-1,Algebra I,4.0,MATH 237,MW,450 PM,605 PM,NSE,Fall,Naomi Jochnowitz
MATH 440-1,General Topology,4.0,MATH 265,TR,1230 PM,145 PM,NSE,Fall,Jonathan Pakianathan
MATH 443-1,Algebraic Topology,4.0,"MATH 436, MATH 440",MW,200 PM,315 PM,NSE,Fall,Douglas Ravenel
MATH 471-1,Analysis I,4.0,MATH 265,TR,940 AM,1055 AM,NSE,Fall,Arjun Krishnan
MATH 472-1,Analysis III,4.0,"MATH 467, MATH 471",MW,325 PM,440 PM,NSE,Fall,Allan Greenleaf
MATH 504-1,Stochastic Processes,4.0,,TR,940 AM,1055 AM,NSE,Fall,Carl Mueller
MATH 540-1,Topics in Combinatorics,4.0,,TR,1105 AM,1220 PM,NSE,Fall,Jonathan Pakianathan
MATH 141-01,Calculus I,4.0,,MW,900 AM,1015 AM,NSE,Spring,Hari Nathan
MATH 141-02,Calculus I,4.0,,MW,200 PM,315 PM,NSE,Spring,Ophelia Adams
MATH 142-01,Calculus II,4.0,MATH 141,TR,940 AM,1055 AM,NSE,Spring,Nathanael Grand
MATH 142-02,Calculus II,4.0,MATH 141,MW,1230 PM,145 PM,NSE,Spring,Mary Cook
MATH 142-03,Calculus II,4.0,MATH 141,MW,1025 AM,1140 AM,NSE,Spring,Wei-Cheng Huang
MATH 142-04,Calculus II,4.0,MATH 141,MW,900 AM,1015 AM,NSE,Spring,Woongbae Park
MATH 143-01,Calculus III,4.0,"MATH 141, MATH 142",MW,1230 PM,145 PM,NSE,Spring,Kiera Harmatz-Kean
MATH 143-02,Calculus III,4.0,"MATH 141, MATH 142",MW,900 AM,1015 AM,NSE,Spring,Donovan Snyder
MATH 150-01,Discrete Mathematics,4.0,,MW,1025 AM,1140 AM,NSE,Spring,FNU Anudeep Kumar
MATH 150-02,Discrete Mathematics,4.0,,MW,200 PM,315 PM,NSE,Spring,FNU Anudeep Kumar
MATH 161-01,Calculus IA,4.0,,MW,200 PM,315 PM,NSE,Spring,Woongbae Park
MATH 161-02,Calculus IA,4.0,,MW,900 AM,1015 AM,NSE,Spring,Wei-Cheng Huang
MATH 162-01,Calculus IIA,4.0,MATH 161,TR,1230 PM,145 PM,NSE,Spring,Surena Hozoori
MATH 162-02,Calculus IIA,4.0,MATH 161,TR,325 PM,440 PM,NSE,Spring,Surena Hozoori
MATH 162-03,Calculus IIA,4.0,MATH 161,MW,1230 PM,145 PM,NSE,Spring,Quy Pham
MATH 162-04,Calculus IIA,4.0,MATH 161,TR,940 AM,1055 AM,NSE,Spring,Ahmad Almomani
MATH 162-05,Calculus IIA,4.0,MATH 161,MW,900 AM,1015 AM,NSE,Spring,John Lin
MATH 164-01,Multivariable Calculus,4.0,MATH 162,MW,1230 PM,145 PM,NSE,Spring,Hari Rau-Murthy
MATH 164-02,Multivariable Calculus,4.0,MATH 162,MW,1025 AM,1140 AM,NSE,Spring,Amanda Tucker
MATH 164-3,Multivariable Calculus,4.0,MATH 162,MW,325 PM,440 PM,NSE,Spring,Min Sik Han
MATH 165-01,Linear Algebra with Differential Equations,4.0,MATH 162,MW,1025 AM,1140 AM,NSE,Spring,Kalyani Madhu
MATH 165-02,Linear Algebra with Differential Equations,4.0,MATH 162,MW,1230 PM,145 PM,NSE,Spring,Matthew Dannenberg
MATH 165-03,Linear Algebra with Differential Equations,4.0,MATH 162,MW,900 AM,1015 AM,NSE,Spring,Neeraja Kulkarni
MATH 165-04,Linear Algebra with Differential Equations,4.0,MATH 162,MW,200 PM,315 PM,NSE,Spring,Peter Oberly
MATH 165-05,Linear Algebra with Differential Equations,4.0,MATH 162,TR,1230 PM,145 PM,NSE,Spring,Ahmad Almomani
MATH 200-01,Transition to Advanced Mathematics,4.0,MATH 162,MW,900 AM,1015 AM,NSE,Spring,Saul Lubkin
MATH 200WM-1,Transition to Advanced Mathematics,0.5,,MW,1200 AM,1201 AM,NSE,Spring,Saul Lubkin
MATH 201-01,Introduction to Probability,4.0,MATH 162,MW,1025 AM,1140 AM,NSE,Spring,Peter Oberly
MATH 201-02,Introduction to Probability,4.0,MATH 162,MW,1230 PM,145 PM,NSE,Spring,Carl Mueller
MATH 201-03,Introduction to Probability,4.0,MATH 162,MW,200 PM,315 PM,NSE,Spring,Carl Mueller
MATH 202-1,Introduction to Stochastic Processes,4.0,"MATH 201, MATH 165",MW,1025 AM,1140 AM,NSE,Spring,Neeraja Kulkarni
MATH 203-01,Intro to Math Statistics,4.0,MATH 203,TR,325 PM,440 PM,NSE,Spring,Javier Bautista
MATH 209-1,Operations Research II: Stochastic Models and Queueing Theory,4.0,"MATH 208, MATH 210",TR,940 AM,1055 AM,NSE,Spring,Mark Herman
MATH 218-1,Mathematical Modeling in Life Sciences,4.0,MATH 165,MW,325 PM,440 PM,NSE,Spring,Ophelia Adams
MATH 233-1,Mathematical Cryptography,4.0,MATH 200,MW,1230 PM,145 PM,NSE,Spring,Saul Lubkin
MATH 235-01,Linear Algebra,4.0,MATH 165,MW,200 PM,315 PM,NSE,Spring,Kalyani Madhu
MATH 235-04,Linear Algebra,4.0,MATH 165,MW,1025 AM,1140 AM,NSE,Spring,Hari Rau-Murthy
MATH 235WM-01,Linear Algebra,0.5,MATH 235,MW,1200 AM,1201 AM,NSE,Spring,Kalyani Madhu
MATH 235WM-04,Linear Algebra,0.5,MATH 235,MW,1200 AM,1201 AM,NSE,Spring,Hari Rau-Murthy
MATH 236-2,Abstract Algebra I,4.0,MATH 236,MW,200 PM,315 PM,NSE,Spring,Min Sik Han
MATH 236WM-2,Abstract Algebra I,0.5,MATH 236,MW,1200 AM,1201 AM,NSE,Spring,Min Sik Han
MATH 240-1,Introduction to Topology,4.0,"MATH 164, MATH 235",MW,1230 PM,145 PM,NSE,Spring,Allan Greenleaf
MATH 240WM-1,Introduction to Topology,0.5,MATH 240,MW,1200 AM,1201 AM,NSE,Spring,Allan Greenleaf
MATH 248-1,Graph Theory,4.0,MATH 235,TR,1230 PM,145 PM,NSE,Spring,Arjun Krishnan
MATH 250-1,Introduction to Geometry,4.0,MATH 235,MW,325 PM,440 PM,NSE,Spring,Mary Cook
MATH 263-1,Theory of Ordinary Differential Equations,4.0,MATH 165,MW,200 PM,315 PM,NSE,Spring,Dan Geba
MATH 266-1,Real Analysis II,4.0,MATH 265,MW,900 AM,1015 AM,NSE,Spring,Juan Rivera Letelier
MATH 282-2,Introduction to Complex Analysis,4.0,MATH 164,MW,1025 AM,1140 AM,NSE,Spring,Mark Herman
MATH 294-01,Nonlinear Optimization,4.0,"MATH 164, MATH 165",TR,200 PM,315 PM,NSE,Spring,Jiaming Liang
MATH 300W-1,History of Mathematics,4.0,MATH 200,MW,325 PM,440 PM,NSE,Spring,Matthew Dannenberg
MATH 403-1,Theory of Probability,4.0,MATH 471,TR,940 AM,1055 AM,NSE,Spring,Arjun Krishnan
MATH 437-1,Algebra II,4.0,MATH 436,MW,450 PM,605 PM,NSE,Spring,Naomi Jochnowitz
MATH 448-01,Computational Topology,4.0,"MATH 165, MATH 164, MATH 240",MW,1230 PM,145 PM,NSE,Spring,Jonathan Pakianathan
MATH 453-1,Differentiable Manifolds,4.0,"MATH 255, MATH 265",TR,200 PM,315 PM,NSE,Spring,Stephen Kleene
MATH 467-1,Analysis II,4.0,MATH 471,MW,1025 AM,1140 AM,NSE,Spring,Dinesh Thakur
MATH 506-1,Topics in Probability: Random Matrix Theory,4.0,,TR,1230 PM,145 PM,NSE,Spring,Sevak Mkrtchyan
MATH 533-01,Algebraic Curves,4.0,,MW,1230 PM,145 PM,NSE,Spring,Dinesh Thakur
MATH 565-1,Partial Differential Equation,4.0,,TR,940 AM,1055 AM,NSE,Spring,Xuwen Chen
MATH 578-01,Topics in Harmonic Analysis,4.0,,M,600 PM,830 PM,NSE,Spring,Alex Iosevich
